""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CTSC"	7.63968547570221e-71	0.896379754337335	0.946	0.784	1.91580392674184e-66	"0"	"CTSC"
"RGS1"	9.8327489427175e-71	1.04993607005796	0.913	0.649	2.46575845236527e-66	"0"	"RGS1"
"LAYN"	6.25839267863596e-51	1.30764356341269	0.6	0.24	1.56941713202154e-46	"0"	"LAYN"
"TNFRSF18"	1.02134722208758e-43	0.56146599870127	0.803	0.468	2.56123242882901e-39	"0"	"TNFRSF18"
"PHLDA1"	3.49451773736838e-42	0.994969694807636	0.684	0.346	8.76320212999867e-38	"0"	"PHLDA1"
"BATF"	4.96067770107213e-41	0.682459686379055	0.886	0.646	1.24398914709786e-36	"0"	"BATF"
"SAMSN1"	2.29517062867539e-39	0.700945995903923	0.872	0.679	5.75559938552927e-35	"0"	"SAMSN1"
"SRGN"	1.79248830975539e-37	0.53458192105397	0.957	0.867	4.4950229343736e-33	"0"	"SRGN"
"FOXP3"	2.62312157035038e-37	0.617912164833045	0.899	0.778	6.57800196196765e-33	"0"	"FOXP3"
"PHTF2"	3.4082973593601e-37	0.86479338100804	0.719	0.459	8.54698728806731e-33	"0"	"PHTF2"
"CARD16"	1.56222475202412e-36	0.843219271066047	0.897	0.754	3.91759101065089e-32	"0"	"CARD16"
"IL32"	3.14057396031219e-36	0.399429899645134	0.999	0.989	7.87561732027487e-32	"0"	"IL32"
"TNFAIP3"	1.74714048840056e-34	0.585681946874226	0.926	0.757	4.38130420276208e-30	"0"	"TNFAIP3"
"CREM"	3.27592463576057e-32	0.760154595997609	0.745	0.481	8.21503620909678e-28	"0"	"CREM"
"TIGIT"	4.79570381111645e-30	0.707817794946414	0.845	0.717	1.20261864471367e-25	"0"	"TIGIT"
"RHOC"	4.82932585556272e-30	0.811956629477061	0.614	0.357	1.21105004479946e-25	"0"	"RHOC"
"CTLA4"	4.98253739187847e-30	0.66915254966865	0.803	0.594	1.24947090176136e-25	"0"	"CTLA4"
"CD2"	4.19682651489296e-29	0.447621110733716	0.952	0.894	1.05243818513971e-24	"0"	"CD2"
"CCR8"	4.83639287310298e-29	0.714482478066146	0.633	0.367	1.21282224078803e-24	"0"	"CCR8"
"SH2D2A"	2.41381086144864e-27	0.521192224627988	0.752	0.51	6.05311349725477e-23	"0"	"SH2D2A"
"CXCR6"	2.60318965909745e-27	0.826428437654924	0.611	0.386	6.52801870811867e-23	"0"	"CXCR6"
"NAMPT"	2.77515255167464e-27	0.622515126210376	0.699	0.443	6.95925005383449e-23	"0"	"NAMPT"
"ACP5"	1.10266329403704e-26	1.08831751045835	0.547	0.325	2.76514874245668e-22	"0"	"ACP5"
"IL2RB"	2.20446621060172e-25	0.593780916636821	0.791	0.64	5.52813991632594e-21	"0"	"IL2RB"
"TNFRSF9"	1.77526302644268e-23	0.279888329729489	0.651	0.392	4.45182709141032e-19	"0"	"TNFRSF9"
"DUSP4"	1.61164971339311e-22	0.84392581869894	0.615	0.422	4.04153398627591e-18	"0"	"DUSP4"
