"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTS10-0205"	4325	231147	"TTS10-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-0205"	3649	163042	"TTS1-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS2-0205"	4864	454081	"TTS2-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS22-0205"	3656	159061	"TTS22-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS4-0205"	4150	266275	"TTS4-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS6-0205"	4740	233035	"TTS6-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS11-0205"	4637	542661	"TTS11-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS12-0205"	3305	381703	"TTS12-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS13-0205"	4732	376238	"TTS13-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS14-0205"	6689	591284	"TTS14-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS15-0205"	4221	376391	"TTS15-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS16-0205"	2599	107228	"TTS16-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS17-0205"	3713	582254	"TTS17-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS19-0205"	3024	276658	"TTS19-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS20-0205"	3014	205721	"TTS20-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS21-0205"	2947	196715	"TTS21-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS24-0205"	4962	462826	"TTS24-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS25-0205"	3320	241505	"TTS25-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS26-0205"	3947	426392	"TTS26-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS28-0205"	3892	700313	"TTS28-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS29-0205"	3829	451741	"TTS29-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS32-0205"	4422	248481	"TTS32-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS33-0205"	4766	515260	"TTS33-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS35-0205"	3749	295627	"TTS35-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS36-0205"	5806	393732	"TTS36-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS37-0205"	4732	481013	"TTS37-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS39-0205"	4044	569963	"TTS39-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS40-0205"	3162	312302	"TTS40-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS41-0205"	4064	676715	"TTS41-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS42-0205"	5802	688197	"TTS42-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS43-0205"	3990	511595	"TTS43-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS45-0205"	6470	722267	"TTS45-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS46-0205"	4355	559628	"TTS46-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS48-0205"	3535	432283	"TTS48-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS49-0205"	4227	280269	"TTS49-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS53-0205"	4583	408249	"TTS53-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS55-0205"	4301	544575	"TTS55-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS56-0205"	5054	539889	"TTS56-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS57-0205"	3991	342490	"TTS57-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS58-0205"	4203	547003	"TTS58-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS59-0205"	3508	376596	"TTS59-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS61-0205"	4417	335351	"TTS61-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS62-0205"	3836	206579	"TTS62-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS64-0205"	6250	611971	"TTS64-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS65-0205"	4141	428259	"TTS65-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS66-0205"	4793	607521	"TTS66-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS7-0205"	3700	291062	"TTS7-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS8-0205"	3251	271310	"TTS8-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS100-0205"	3939	354773	"TTS100-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS102-0205"	4889	525336	"TTS102-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS104-0205"	2345	141882	"TTS104-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS106-0205"	4260	447792	"TTS106-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS107-0205"	3388	1054833	"TTS107-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS108-0205"	3929	240863	"TTS108-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS109-0205"	5090	290556	"TTS109-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS113-0205"	4434	108039	"TTS113-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS115-0205"	3354	575823	"TTS115-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS116-0205"	3253	491827	"TTS116-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS117-0205"	3659	240410	"TTS117-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS118-0205"	2857	388117	"TTS118-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS120-0205"	3381	122230	"TTS120-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS121-0205"	3343	264335	"TTS121-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS122-0205"	5329	403117	"TTS122-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS67-0205"	3388	153098	"TTS67-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS68-0205"	3779	724307	"TTS68-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS69-0205"	3093	283358	"TTS69-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS70-0205"	4869	452876	"TTS70-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS71-0205"	3854	449921	"TTS71-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS72-0205"	3422	196750	"TTS72-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS73-0205"	4989	628626	"TTS73-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS74-0205"	4902	394222	"TTS74-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS75-0205"	5839	583031	"TTS75-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS77-0205"	3845	209098	"TTS77-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS79-0205"	7201	1084290	"TTS79-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS80-0205"	3181	73854	"TTS80-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS82-0205"	4912	133418	"TTS82-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS83-0205"	3141	439566	"TTS83-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS84-0205"	3768	477905	"TTS84-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS86-0205"	3696	256788	"TTS86-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS87-0205"	5845	487913	"TTS87-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS88-0205"	4466	410178	"TTS88-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS89-0205"	5972	600700	"TTS89-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS90-0205"	3584	214276	"TTS90-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS91-0205"	3678	437225	"TTS91-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS92-0205"	6219	510334	"TTS92-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
