"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"
"S1PR1"	2.41477444359877e-121	-3.8752375681013	0.09	0.821	5.22364007639285e-117	"S1PR1"
"TNFRSF18"	7.08567595687304e-85	2.38897037287571	0.919	0.352	1.53277342299078e-80	"TNFRSF18"
"KLF2"	5.30548733092325e-83	-3.17553940594867	0.058	0.617	1.14768301942532e-78	"KLF2"
"LEF1"	1.72226423756787e-81	-2.52753495753616	0.254	0.841	3.72560199870682e-77	"LEF1"
"CTSC"	4.90137852461846e-79	1.5588625327479	0.983	0.793	1.06026620244546e-74	"CTSC"
"AES"	9.49707891180421e-76	-1.73336847493712	0.719	0.959	2.05440811020149e-71	"AES"
"TXNIP"	8.81709670297775e-75	-1.18750028414232	0.964	1	1.90731435878815e-70	"TXNIP"
"FAM65B"	1.48557591133963e-72	-1.81811048751804	0.626	0.959	3.2135978114099e-68	"FAM65B"
"RGS1"	1.76334467185013e-70	1.88921773867194	0.935	0.531	3.81446719414621e-66	"RGS1"
"RASGRP2"	2.62497549299139e-69	-2.72750094399001	0.088	0.603	5.67834698643899e-65	"RASGRP2"
"CXCR6"	6.41466207752549e-68	2.34197552776477	0.886	0.514	1.38761970061031e-63	"CXCR6"
"GIMAP7"	2.32225574584199e-65	-1.96465891454842	0.465	0.89	5.02350362940539e-61	"GIMAP7"
"LINC00861"	3.02166481083678e-65	-1.83621039762252	0.523	0.931	6.53646531880212e-61	"LINC00861"
"SRGN"	6.80081913342565e-64	1.14972324001603	0.998	0.91	1.47115319494264e-59	"SRGN"
"LAYN"	2.10975368621191e-63	2.85539311678129	0.723	0.117	4.56381917401361e-59	"LAYN"
"BATF"	1.7226896899969e-61	1.59256945747494	0.933	0.534	3.72652233740128e-57	"BATF"
"CREM"	7.14323368657581e-61	2.57689804439928	0.836	0.407	1.54522431108008e-56	"CREM"
"CCR7"	2.60629775080874e-60	-3.44069068422084	0.12	0.6	5.63794329454946e-56	"CCR7"
"PHLDA1"	4.71050065182008e-60	2.91257189326957	0.72	0.148	1.01897550100172e-55	"PHLDA1"
"ABLIM1"	1.82584003700607e-59	-2.60331548204139	0.16	0.655	3.94965716805153e-55	"ABLIM1"
"TNFRSF9"	4.95140608704536e-57	2.93644660785547	0.751	0.248	1.07108816474965e-52	"TNFRSF9"
"TNFRSF4"	7.95651671429101e-56	2.15882515402591	0.878	0.479	1.72115369563543e-51	"TNFRSF4"
"SH2D2A"	4.42497585103278e-54	1.47063407022365	0.903	0.5	9.57210776095411e-50	"SH2D2A"
"TNFAIP3"	5.54468779940321e-54	1.67095414700386	0.933	0.676	1.1994268647669e-49	"TNFAIP3"
"NAMPT"	2.495428099553e-53	2.06853983124831	0.789	0.297	5.39811006495306e-49	"NAMPT"
"ID2"	1.60641548413363e-52	2.56251792755168	0.795	0.386	3.47499797527786e-48	"ID2"
"CDC25B"	7.17174871735609e-52	-1.55340938314385	0.223	0.724	1.55139268253847e-47	"CDC25B"
"CD47"	8.14023416848787e-51	-1.18032217130719	0.792	0.969	1.7608954553273e-46	"CD47"
"RASA3"	9.28007087377924e-51	-1.93611441073652	0.223	0.69	2.00746493141593e-46	"RASA3"
"CTLA4"	1.15472459232854e-50	1.71530572123831	0.91	0.555	2.4979002381251e-46	"CTLA4"
"ITGB7"	2.82765518955005e-50	-2.07881509119557	0.271	0.703	6.11678370603467e-46	"ITGB7"
"PI16"	6.05977693242023e-50	-4.81172059938664	0.014	0.345	1.31085094602115e-45	"PI16"
"ICOS"	1.4269810986242e-49	1.62506188507144	0.924	0.662	3.08684551254387e-45	"ICOS"
"C16orf54"	1.41552144066754e-48	-1.44269002841068	0.366	0.824	3.06205598045202e-44	"C16orf54"
"IL2RB"	1.8550593222777e-48	1.21020819929154	0.964	0.728	4.01286432595111e-44	"IL2RB"
"GAPDH"	4.54645676193262e-48	0.826331568413963	1	0.997	9.83489526741265e-44	"GAPDH"
"DUSP4"	8.45351540548923e-48	2.22681372708543	0.769	0.355	1.82866445251543e-43	"DUSP4"
"SAMSN1"	1.55108284809346e-47	1.369111935348	0.919	0.617	3.35530241699577e-43	"SAMSN1"
"GIMAP4"	4.23367563214036e-47	-1.5664827792748	0.52	0.852	9.15828712744603e-43	"GIMAP4"
"TIGIT"	6.41612265755686e-46	0.986940475770451	0.994	0.8	1.3879356532827e-41	"TIGIT"
"MYC"	8.17974497732428e-46	-2.70437567763942	0.091	0.483	1.76944243349479e-41	"MYC"
"SDC4"	1.11853254116636e-45	2.78896663010523	0.594	0.103	2.41960959305106e-41	"SDC4"
"RPL13A"	2.5265139168728e-45	-0.75109188750491	0.997	1	5.46535490497923e-41	"RPL13A"
"NEDD9"	5.94410576125981e-45	1.76352881408754	0.793	0.397	1.28582895827572e-40	"NEDD9"
"BIN2"	1.90747918677363e-44	-1.18411233627664	0.736	0.938	4.12625897682871e-40	"BIN2"
"ALOX5AP"	1.01114419607947e-43	-1.65285387572828	0.258	0.672	2.18730712495911e-39	"ALOX5AP"
"STK38"	4.06634933275845e-43	-1.70552212682383	0.438	0.807	8.79632687662309e-39	"STK38"
"GIMAP1"	4.55900721056137e-43	-2.01117691699454	0.204	0.617	9.86204439788635e-39	"GIMAP1"
"ZFP36L1"	3.27988830712289e-42	1.19269001494716	0.986	0.914	7.09505438596823e-38	"ZFP36L1"
"LIME1"	5.51291904902185e-42	-1.09315335461973	0.69	0.917	1.19255464868441e-37	"LIME1"
"RNF214"	9.59736443713767e-42	-2.17631779298405	0.178	0.576	2.07610187504162e-37	"RNF214"
"ITGB1"	1.04093682767537e-41	-1.41021465227828	0.764	0.928	2.25175454562737e-37	"ITGB1"
"FOXP3"	1.20905656385032e-41	0.894956525430522	0.983	0.831	2.61543115892101e-37	"FOXP3"
"GSTK1"	1.65937618517618e-41	-0.794528647814095	0.886	0.972	3.58956256377312e-37	"GSTK1"
"MAF"	4.15181619274751e-41	1.30931634451545	0.886	0.521	8.98120878815141e-37	"MAF"
"RHOC"	7.16656593722156e-41	1.62102337199096	0.726	0.303	1.55027154353977e-36	"RHOC"
"LDHB"	1.06019040347265e-40	-0.885353082375736	0.88	0.959	2.29340388079203e-36	"LDHB"
"SELL"	1.78899420663208e-39	-1.19213782492809	0.742	0.928	3.86995226778652e-35	"SELL"
"DNPH1"	1.84572152011697e-39	1.48372887450641	0.774	0.383	3.99266479231703e-35	"DNPH1"
"HLA-A"	2.74791312908687e-39	0.402596579691819	1	1	5.94428568084072e-35	"HLA-A"
"CD7"	2.97416986449019e-39	1.48727025524551	0.868	0.541	6.43372425086517e-35	"CD7"
"GIMAP1-GIMAP5"	5.17560541691925e-39	-1.52970452767097	0.457	0.838	1.11958696378797e-34	"GIMAP1-GIMAP5"
"SAT1"	8.23720588759244e-39	1.11637041051345	0.959	0.848	1.781872377604e-34	"SAT1"
"RPL3"	2.17518573729411e-38	-0.612599630693067	0.998	1	4.70536178691463e-34	"RPL3"
"CCND2"	2.21643804368379e-38	1.34046710459631	0.897	0.679	4.79459877609677e-34	"CCND2"
"PHTF2"	3.6450827909572e-38	1.10252439423359	0.904	0.562	7.88504309339861e-34	"PHTF2"
"TC2N"	7.99561846759323e-38	-2.95659480936344	0.199	0.569	1.72961218690977e-33	"TC2N"
"ARHGAP45"	5.43975374061191e-37	-1.09180056254944	0.725	0.917	1.17672752916917e-32	"ARHGAP45"
"CST7"	6.90634061711017e-37	1.40651051412094	0.854	0.607	1.49397960229327e-32	"CST7"
"CD2"	8.45485764327655e-37	0.645774309278281	0.997	0.983	1.82895480539358e-32	"CD2"
"CARD16"	1.13428286128285e-36	1.20390982163629	0.962	0.803	2.45368068552705e-32	"CARD16"
"MYL6"	4.31354793499235e-36	0.692061118733648	0.997	0.997	9.33106689297546e-32	"MYL6"
"KCNA3"	4.55217741994734e-36	-1.79826313218417	0.178	0.562	9.84727019483009e-32	"KCNA3"
"HLA-H"	9.42079380239362e-36	0.47387419047223	1	1	2.03790611533379e-31	"HLA-H"
"MCUB"	1.04647221976354e-35	-1.67919986136459	0.286	0.655	2.2637287057925e-31	"MCUB"
"TBC1D4"	1.11037329304443e-35	1.08250686673453	0.935	0.728	2.4019595075137e-31	"TBC1D4"
"CDC42SE1"	2.6547712129354e-35	-0.965235548464273	0.924	1	5.74280108782186e-31	"CDC42SE1"
"HLA-G"	2.87699256803256e-35	0.47972511819774	0.998	0.997	6.22351032316802e-31	"HLA-G"
"CLEC7A"	3.17825832028043e-35	4.31063880237609	0.433	0.031	6.87520839843063e-31	"CLEC7A"
"ZGPAT"	5.17234361523567e-35	-0.898794397475013	0.705	0.921	1.11888137084778e-30	"ZGPAT"
"CCR8"	1.10651843797883e-34	1.51172416068582	0.726	0.338	2.39362068503581e-30	"CCR8"
"LEF1-AS1"	1.15541414229447e-34	-1.87774257657238	0.088	0.417	2.4993918726114e-30	"LEF1-AS1"
"LTA"	1.2939211996721e-34	2.99118304979208	0.479	0.069	2.79901033913068e-30	"LTA"
"MAL"	1.82954998922975e-34	-1.22681217107077	0.09	0.431	3.95768253670179e-30	"MAL"
"TRAF3IP3"	2.32949916606328e-34	-0.694856022937082	0.883	0.959	5.0391725960281e-30	"TRAF3IP3"
"KLF3"	4.08329841761895e-34	-3.21913263846468	0.091	0.403	8.83299113699332e-30	"KLF3"
"ENO1"	4.90658294891166e-34	0.797898362828359	0.986	0.948	1.06139202350857e-29	"ENO1"
"LAIR2"	1.51972830921645e-33	2.19938149191051	0.672	0.314	3.28747627849701e-29	"LAIR2"
"SELPLG"	3.03151890811032e-33	-0.705963080767199	0.953	0.99	6.55778170202425e-29	"SELPLG"
"JUN"	4.1938967723272e-33	1.92068989296061	0.596	0.193	9.0722374978982e-29	"JUN"
"MIR5047"	6.31479756894398e-33	-0.935576933956496	0.775	0.914	1.36601701011396e-28	"MIR5047"
"LPAR6"	9.87992119610469e-33	-1.7013885402806	0.343	0.697	2.13722455314137e-28	"LPAR6"
"TNFRSF1B"	2.18770348792872e-32	0.866308950323116	0.98	0.9	4.73244018508741e-28	"TNFRSF1B"
"RPS2"	3.20533661970718e-32	-0.627077581899933	0.95	0.983	6.93378417575057e-28	"RPS2"
"STAT4"	4.26452938543064e-32	1.05419970103382	0.878	0.614	9.22502996656356e-28	"STAT4"
"LYST"	4.45569366360996e-32	1.11333526216305	0.807	0.472	9.63855653312108e-28	"LYST"
"SNX9"	5.07896394197153e-32	1.54837520201288	0.625	0.217	1.09868147992728e-27	"SNX9"
"LDLRAP1"	6.96055891512792e-32	-1.92906728953012	0.246	0.586	1.50570810452047e-27	"LDLRAP1"
"ADD3"	1.0008985063197e-31	-1.00686261469825	0.688	0.914	2.16514364887077e-27	"ADD3"
"APOBEC3C"	2.48544241707654e-31	0.992420412574414	0.901	0.703	5.37650903661998e-27	"APOBEC3C"
"DGKA"	2.7158556541209e-31	-0.953130683720982	0.755	0.907	5.87493895099433e-27	"DGKA"
"TYMP"	3.07006263543627e-31	1.71363551628879	0.695	0.328	6.64115949297574e-27	"TYMP"
"NDFIP2"	3.61937161398111e-31	2.51857545576496	0.505	0.128	7.82942467536393e-27	"NDFIP2"
"RPL4"	8.73419342450878e-31	-0.583710315115066	0.976	0.979	1.88938072158974e-26	"RPL4"
"AIM1"	8.7752364145317e-31	-1.4255529018572	0.24	0.603	1.8982591411915e-26	"AIM1"
"TMEM63A"	1.5654111136976e-30	-1.4014561725547	0.424	0.748	3.38629732115065e-26	"TMEM63A"
"IL12RB2"	1.95784252244246e-30	1.57673920400839	0.635	0.255	4.23520494454754e-26	"IL12RB2"
"CDHR3"	2.40382938253256e-30	-3.282908735606	0.008	0.214	5.19996372029444e-26	"CDHR3"
"MBP"	2.72668110240831e-30	-1.76918919998107	0.298	0.634	5.89835656072966e-26	"MBP"
"ATP1B1"	1.085481792868e-29	1.92862048734535	0.549	0.166	2.34811421433206e-25	"ATP1B1"
"LAPTM4B"	1.3772263194567e-29	3.88462463900107	0.429	0.072	2.97921597424874e-25	"LAPTM4B"
