Genes	avg_logFC	pct.TM	pct.PB	pct.Difference	p_val	p_val_adj	
HSPA1B	6.011714502	0.643	0.012	0.631	1.85E-39	3.41E-35	
NR4A1	5.862313109	0.514	0	0.514	3.15E-29	5.80E-25	
HSPA1A	5.327580784	0.685	0.075	0.61	6.23E-40	1.15E-35	
HSPA6	5.233668418	0.101	0	0.101	2.89E-05	0.533004925	
CD177	4.857933954	0.202	0	0.202	7.18E-10	1.32E-05	
CCL4L2	4.511608869	0.075	0	0.075	0.000366541	1	
EGR1	4.467364255	0.312	0.006	0.306	3.65E-15	6.73E-11	
GEM	4.320851027	0.193	0	0.193	1.90E-09	3.50E-05	
AC145110.1	4.219903899	0.197	0	0.197	1.29E-09	2.37E-05	
CCL3	4.085470521	0.061	0	0.061	0.001390115	1	
RHOB	3.965710499	0.385	0.025	0.36	3.01E-18	5.54E-14	
IL1R2	3.956537839	0.171	0	0.171	2.25E-08	0.000414803	
RBKS	3.939931166	0.166	0	0.166	3.94E-08	0.000726028	
CISH	3.93549037	0.24	0.006	0.234	2.57E-11	4.73E-07	
CXCL13	3.911709426	0.007	0	0.007	0.290768773	1	
SERPINH1	3.909217595	0.124	0	0.124	3.02E-06	0.055720423	
ASB2	3.87413985	0.195	0	0.195	1.56E-09	2.88E-05	
NR4A3	3.836777221	0.22	0.006	0.214	2.92E-10	5.38E-06	
IGLV3-1	3.813570524	0.113	0	0.113	8.64E-06	0.159170704	
TRBV5-6	3.78875642	0.023	0	0.023	0.055066418	1	
CCL22	3.755160912	0.061	0	0.061	0.001390115	1	
TBC1D8	3.705626018	0.162	0	0.162	5.71E-08	0.001052117	
EBI3	3.687936222	0.139	0	0.139	6.10E-07	0.011249191	
HILPDA	3.648126542	0.108	0	0.108	1.45E-05	0.267726396	
PHLDA2	3.647024954	0.12	0	0.12	4.30E-06	0.07917731	
MZB1	3.639293981	0.148	0	0.148	2.47E-07	0.004560197	
SERTAD1	3.469500385	0.371	0.012	0.359	4.65E-18	8.57E-14	
C3AR1	3.462562326	0.11	0	0.11	1.22E-05	0.225198421	
ATF3	3.451943623	0.362	0.019	0.343	6.08E-17	1.12E-12	
SDC4	3.442133379	0.129	0	0.129	1.78E-06	0.032802373	
CDKN1A	3.40517974	0.422	0.025	0.397	2.52E-20	4.65E-16	
CCL4	3.389138224	0.146	0.012	0.134	3.14E-06	0.057896236	
LINC00519	3.378560086	0.105	0	0.105	2.05E-05	0.378006615	
